task_id,method,success,recovered,silent_failure,failure_detected,failure_signal,failure_class,actual_faults,final_answer,tool_calls,model_calls,verifier_calls,recovery_steps,latency_ms,cost_proxy,escalated,logs,recovery_budget,fault_intensity,seed,category
retrieval_004,full_replanning,True,False,False,False,,,[],Product A has standard support for 12 months.,1,1,0,0,80,2,False,"[{'step': 'full_replan', 'attempt': 0, 'content': 'Regenerate full plan from current task state.'}, {'step': 'execute_replanned_task', 'attempt': 0, 'response': {'tool': 'task_executor', 'status': 'success', 'output': 'Product A has standard support for 12 months.', 'latency_ms': 80, 'tool_trace': [{'step_index': 0, 'tool': 'document_search', 'args': {'query': 'Product A support policy'}, 'fault_eligible': True, 'seed': 773968851, 'response': {'tool': 'document_search', 'status': 'success', 'output': 'Product A has standard support for 12 months.', 'latency_ms': 80, 'fault_injected': False, 'fault_type': None, 'actual_fault_type': None}}], 'actual_faults': []}}]",1,0.2,1,retrieval_evidence
retrieval_004,self_healing,True,False,False,False,,,[],Product A has standard support for 12 months.,1,0,1,0,80,2,False,"[{'step': 'initial_execution', 'attempt': 0, 'fault_intensity': 0.2, 'response': {'tool': 'task_executor', 'status': 'success', 'output': 'Product A has standard support for 12 months.', 'latency_ms': 80, 'tool_trace': [{'step_index': 0, 'tool': 'document_search', 'args': {'query': 'Product A support policy'}, 'fault_eligible': True, 'seed': 1482221911, 'response': {'tool': 'document_search', 'status': 'success', 'output': 'Product A has standard support for 12 months.', 'latency_ms': 80, 'fault_injected': False, 'fault_type': None, 'actual_fault_type': None}}], 'actual_faults': []}}]",1,0.2,1,retrieval_evidence
retrieval_005,retry_only,True,False,False,False,,,[],Product B has a refund window of 30 days.,1,0,0,0,80,1,False,"[{'step': 'retry_execution', 'attempt': 0, 'response': {'tool': 'task_executor', 'status': 'success', 'output': 'Product B has a refund window of 30 days.', 'latency_ms': 80, 'tool_trace': [{'step_index': 0, 'tool': 'document_search', 'args': {'query': 'Product B refund window'}, 'fault_eligible': True, 'seed': 3871382932, 'response': {'tool': 'document_search', 'status': 'success', 'output': 'Product B has a refund window of 30 days.', 'latency_ms': 80, 'fault_injected': False, 'fault_type': None, 'actual_fault_type': None}}], 'actual_faults': []}}]",1,0.2,1,retrieval_evidence
retrieval_005,full_replanning,True,False,False,False,,,[],Product B has a refund window of 30 days.,1,1,0,0,80,2,False,"[{'step': 'full_replan', 'attempt': 0, 'content': 'Regenerate full plan from current task state.'}, {'step': 'execute_replanned_task', 'attempt': 0, 'response': {'tool': 'task_executor', 'status': 'success', 'output': 'Product B has a refund window of 30 days.', 'latency_ms': 80, 'tool_trace': [{'step_index': 0, 'tool': 'document_search', 'args': {'query': 'Product B refund window'}, 'fault_eligible': True, 'seed': 3496672413, 'response': {'tool': 'document_search', 'status': 'success', 'output': 'Product B has a refund window of 30 days.', 'latency_ms': 80, 'fault_injected': False, 'fault_type': None, 'actual_fault_type': None}}], 'actual_faults': []}}]",1,0.2,1,retrieval_evidence
retrieval_005,self_healing,True,False,False,False,,,[],Product B has a refund window of 30 days.,1,0,1,0,80,2,False,"[{'step': 'initial_execution', 'attempt': 0, 'fault_intensity': 0.2, 'response': {'tool': 'task_executor', 'status': 'success', 'output': 'Product B has a refund window of 30 days.', 'latency_ms': 80, 'tool_trace': [{'step_index': 0, 'tool': 'document_search', 'args': {'query': 'Product B refund window'}, 'fault_eligible': True, 'seed': 532234450, 'response': {'tool': 'document_search', 'status': 'success', 'output': 'Product B has a refund window of 30 days.', 'latency_ms': 80, 'fault_injected': False, 'fault_type': None, 'actual_fault_type': None}}], 'actual_faults': []}}]",1,0.2,1,retrieval_evidence
retrieval_006,retry_only,True,False,False,False,,,[],Enterprise customers receive priority support within 4 hours.,1,0,0,0,80,1,False,"[{'step': 'retry_execution', 'attempt': 0, 'response': {'tool': 'task_executor', 'status': 'success', 'output': 'Enterprise customers receive priority support within 4 hours.', 'latency_ms': 80, 'tool_trace': [{'step_index': 0, 'tool': 'document_search', 'args': {'query': 'enterprise SLA'}, 'fault_eligible': True, 'seed': 2464528064, 'response': {'tool': 'document_search', 'status': 'success', 'output': 'Enterprise customers receive priority support within 4 hours.', 'latency_ms': 80, 'fault_injected': False, 'fault_type': None, 'actual_fault_type': None}}], 'actual_faults': []}}]",1,0.2,1,retrieval_evidence
retrieval_006,full_replanning,True,False,False,False,,,[],Enterprise customers receive priority support within 4 hours.,1,1,0,0,80,2,False,"[{'step': 'full_replan', 'attempt': 0, 'content': 'Regenerate full plan from current task state.'}, {'step': 'execute_replanned_task', 'attempt': 0, 'response': {'tool': 'task_executor', 'status': 'success', 'output': 'Enterprise customers receive priority support within 4 hours.', 'latency_ms': 80, 'tool_trace': [{'step_index': 0, 'tool': 'document_search', 'args': {'query': 'enterprise SLA'}, 'fault_eligible': True, 'seed': 2213757743, 'response': {'tool': 'document_search', 'status': 'success', 'output': 'Enterprise customers receive priority support within 4 hours.', 'latency_ms': 80, 'fault_injected': False, 'fault_type': None, 'actual_fault_type': None}}], 'actual_faults': []}}]",1,0.2,1,retrieval_evidence
retrieval_006,self_healing,True,False,False,False,,,[],Enterprise customers receive priority support within 4 hours.,1,0,1,0,80,2,False,"[{'step': 'initial_execution', 'attempt': 0, 'fault_intensity': 0.2, 'response': {'tool': 'task_executor', 'status': 'success', 'output': 'Enterprise customers receive priority support within 4 hours.', 'latency_ms': 80, 'tool_trace': [{'step_index': 0, 'tool': 'document_search', 'args': {'query': 'enterprise SLA'}, 'fault_eligible': True, 'seed': 469076503, 'response': {'tool': 'document_search', 'status': 'success', 'output': 'Enterprise customers receive priority support within 4 hours.', 'latency_ms': 80, 'fault_injected': False, 'fault_type': None, 'actual_fault_type': None}}], 'actual_faults': []}}]",1,0.2,1,retrieval_evidence
retrieval_007,retry_only,True,False,False,False,,,[],Product A has standard support for 12 months.,1,0,0,0,80,1,False,"[{'step': 'retry_execution', 'attempt': 0, 'response': {'tool': 'task_executor', 'status': 'success', 'output': 'Product A has standard support for 12 months.', 'latency_ms': 80, 'tool_trace': [{'step_index': 0, 'tool': 'document_search', 'args': {'query': 'Product A support policy'}, 'fault_eligible': True, 'seed': 2596588450, 'response': {'tool': 'document_search', 'status': 'success', 'output': 'Product A has standard support for 12 months.', 'latency_ms': 80, 'fault_injected': False, 'fault_type': None, 'actual_fault_type': None}}], 'actual_faults': []}}]",1,0.2,1,retrieval_evidence
retrieval_007,full_replanning,True,False,False,False,,,[],Product A has standard support for 12 months.,1,1,0,0,80,2,False,"[{'step': 'full_replan', 'attempt': 0, 'content': 'Regenerate full plan from current task state.'}, {'step': 'execute_replanned_task', 'attempt': 0, 'response': {'tool': 'task_executor', 'status': 'success', 'output': 'Product A has standard support for 12 months.', 'latency_ms': 80, 'tool_trace': [{'step_index': 0, 'tool': 'document_search', 'args': {'query': 'Product A support policy'}, 'fault_eligible': True, 'seed': 3760915489, 'response': {'tool': 'document_search', 'status': 'success', 'output': 'Product A has standard support for 12 months.', 'latency_ms': 80, 'fault_injected': False, 'fault_type': None, 'actual_fault_type': None}}], 'actual_faults': []}}]",1,0.2,1,retrieval_evidence
retrieval_007,self_healing,True,False,False,False,,,[],Product A has standard support for 12 months.,1,0,1,0,80,2,False,"[{'step': 'initial_execution', 'attempt': 0, 'fault_intensity': 0.2, 'response': {'tool': 'task_executor', 'status': 'success', 'output': 'Product A has standard support for 12 months.', 'latency_ms': 80, 'tool_trace': [{'step_index': 0, 'tool': 'document_search', 'args': {'query': 'Product A support policy'}, 'fault_eligible': True, 'seed': 1780304071, 'response': {'tool': 'document_search', 'status': 'success', 'output': 'Product A has standard support for 12 months.', 'latency_ms': 80, 'fault_injected': False, 'fault_type': None, 'actual_fault_type': None}}], 'actual_faults': []}}]",1,0.2,1,retrieval_evidence
retrieval_008,retry_only,True,False,False,False,,,[],Product B has a refund window of 30 days.,1,0,0,0,80,1,False,"[{'step': 'retry_execution', 'attempt': 0, 'response': {'tool': 'task_executor', 'status': 'success', 'output': 'Product B has a refund window of 30 days.', 'latency_ms': 80, 'tool_trace': [{'step_index': 0, 'tool': 'document_search', 'args': {'query': 'Product B refund window'}, 'fault_eligible': True, 'seed': 3984067844, 'response': {'tool': 'document_search', 'status': 'success', 'output': 'Product B has a refund window of 30 days.', 'latency_ms': 80, 'fault_injected': False, 'fault_type': None, 'actual_fault_type': None}}], 'actual_faults': []}}]",1,0.2,1,retrieval_evidence
retrieval_008,full_replanning,True,False,False,False,,,[],Product B has a refund window of 30 days.,1,1,0,0,80,2,False,"[{'step': 'full_replan', 'attempt': 0, 'content': 'Regenerate full plan from current task state.'}, {'step': 'execute_replanned_task', 'attempt': 0, 'response': {'tool': 'task_executor', 'status': 'success', 'output': 'Product B has a refund window of 30 days.', 'latency_ms': 80, 'tool_trace': [{'step_index': 0, 'tool': 'document_search', 'args': {'query': 'Product B refund window'}, 'fault_eligible': True, 'seed': 1053646566, 'response': {'tool': 'document_search', 'status': 'success', 'output': 'Product B has a refund window of 30 days.', 'latency_ms': 80, 'fault_injected': False, 'fault_type': None, 'actual_fault_type': None}}], 'actual_faults': []}}]",1,0.2,1,retrieval_evidence
retrieval_008,self_healing,True,True,False,False,,context_failure,['stale_context'],Product B has a refund window of 30 days.,2,0,1,1,160,3,False,"[{'step': 'initial_execution', 'attempt': 0, 'fault_intensity': 0.2, 'response': {'tool': 'task_executor', 'status': 'error', 'error_type': 'stale_context', 'output': 'Outdated policy: Product A support is 6 months.', 'latency_ms': 80, 'tool_trace': [{'step_index': 0, 'tool': 'document_search', 'args': {'query': 'Product B refund window'}, 'fault_eligible': True, 'seed': 837679885, 'response': {'tool': 'document_search', 'status': 'success', 'output': 'Outdated policy: Product A support is 6 months.', 'latency_ms': 80, 'stale': True, 'fault_injected': True, 'fault_type': 'stale_context', 'actual_fault_type': 'stale_context'}}], 'actual_faults': ['stale_context']}}, {'step': 'failure_detected', 'failure_signal': 'stale_context', 'failure_class': 'context_failure'}, {'step': 'recovery_action_selected', 'recovery_attempt': 0, 'failure_class': 'context_failure', 'recovery_action': 'refresh_retrieval'}, {'step': 'recovery_execution', 'recovery_attempt': 0, 'recovery_action': 'refresh_retrieval', 'recovery_fault_intensity': 0.05, 'response': {'tool': 'task_executor', 'status': 'success', 'output': 'Product B has a refund window of 30 days.', 'latency_ms': 80, 'tool_trace': [{'step_index': 0, 'tool': 'document_search', 'args': {'query': 'Product B refund window'}, 'fault_eligible': True, 'seed': 2364763645, 'response': {'tool': 'document_search', 'status': 'success', 'output': 'Product B has a refund window of 30 days.', 'latency_ms': 80, 'fault_injected': False, 'fault_type': None, 'actual_fault_type': None}}], 'actual_faults': []}}]",1,0.2,1,retrieval_evidence
retrieval_009,retry_only,True,True,False,False,,,['stale_context'],Enterprise customers receive priority support within 4 hours.,2,0,0,1,160,2,False,"[{'step': 'retry_execution', 'attempt': 0, 'response': {'tool': 'task_executor', 'status': 'error', 'error_type': 'stale_context', 'output': 'Outdated policy: Product A support is 6 months.', 'latency_ms': 80, 'tool_trace': [{'step_index': 0, 'tool': 'document_search', 'args': {'query': 'enterprise SLA'}, 'fault_eligible': True, 'seed': 3276812771, 'response': {'tool': 'document_search', 'status': 'success', 'output': 'Outdated policy: Product A support is 6 months.', 'latency_ms': 80, 'stale': True, 'fault_injected': True, 'fault_type': 'stale_context', 'actual_fault_type': 'stale_context'}}], 'actual_faults': ['stale_context']}}, {'step': 'retry_execution', 'attempt': 1, 'response': {'tool': 'task_executor', 'status': 'success', 'output': 'Enterprise customers receive priority support within 4 hours.', 'latency_ms': 80, 'tool_trace': [{'step_index': 0, 'tool': 'document_search', 'args': {'query': 'enterprise SLA'}, 'fault_eligible': True, 'seed': 1652383423, 'response': {'tool': 'document_search', 'status': 'success', 'output': 'Enterprise customers receive priority support within 4 hours.', 'latency_ms': 80, 'fault_injected': False, 'fault_type': None, 'actual_fault_type': None}}], 'actual_faults': []}}]",1,0.2,1,retrieval_evidence
retrieval_009,full_replanning,True,False,False,False,,,[],Enterprise customers receive priority support within 4 hours.,1,1,0,0,80,2,False,"[{'step': 'full_replan', 'attempt': 0, 'content': 'Regenerate full plan from current task state.'}, {'step': 'execute_replanned_task', 'attempt': 0, 'response': {'tool': 'task_executor', 'status': 'success', 'output': 'Enterprise customers receive priority support within 4 hours.', 'latency_ms': 80, 'tool_trace': [{'step_index': 0, 'tool': 'document_search', 'args': {'query': 'enterprise SLA'}, 'fault_eligible': True, 'seed': 3071256155, 'response': {'tool': 'document_search', 'status': 'success', 'output': 'Enterprise customers receive priority support within 4 hours.', 'latency_ms': 80, 'fault_injected': False, 'fault_type': None, 'actual_fault_type': None}}], 'actual_faults': []}}]",1,0.2,1,retrieval_evidence
retrieval_009,self_healing,True,False,False,False,,,[],Enterprise customers receive priority support within 4 hours.,1,0,1,0,80,2,False,"[{'step': 'initial_execution', 'attempt': 0, 'fault_intensity': 0.2, 'response': {'tool': 'task_executor', 'status': 'success', 'output': 'Enterprise customers receive priority support within 4 hours.', 'latency_ms': 80, 'tool_trace': [{'step_index': 0, 'tool': 'document_search', 'args': {'query': 'enterprise SLA'}, 'fault_eligible': True, 'seed': 2142773559, 'response': {'tool': 'document_search', 'status': 'success', 'output': 'Enterprise customers receive priority support within 4 hours.', 'latency_ms': 80, 'fault_injected': False, 'fault_type': None, 'actual_fault_type': None}}], 'actual_faults': []}}]",1,0.2,1,retrieval_evidence
retrieval_010,retry_only,True,False,False,False,,,[],Product A has standard support for 12 months.,1,0,0,0,80,1,False,"[{'step': 'retry_execution', 'attempt': 0, 'response': {'tool': 'task_executor', 'status': 'success', 'output': 'Product A has standard support for 12 months.', 'latency_ms': 80, 'tool_trace': [{'step_index': 0, 'tool': 'document_search', 'args': {'query': 'Product A support policy'}, 'fault_eligible': True, 'seed': 1171220271, 'response': {'tool': 'document_search', 'status': 'success', 'output': 'Product A has standard support for 12 months.', 'latency_ms': 80, 'fault_injected': False, 'fault_type': None, 'actual_fault_type': None}}], 'actual_faults': []}}]",1,0.2,1,retrieval_evidence
retrieval_010,full_replanning,True,False,False,False,,,[],Product A has standard support for 12 months.,1,1,0,0,80,2,False,"[{'step': 'full_replan', 'attempt': 0, 'content': 'Regenerate full plan from current task state.'}, {'step': 'execute_replanned_task', 'attempt': 0, 'response': {'tool': 'task_executor', 'status': 'success', 'output': 'Product A has standard support for 12 months.', 'latency_ms': 80, 'tool_trace': [{'step_index': 0, 'tool': 'document_search', 'args': {'query': 'Product A support policy'}, 'fault_eligible': True, 'seed': 1472394302, 'response': {'tool': 'document_search', 'status': 'success', 'output': 'Product A has standard support for 12 months.', 'latency_ms': 80, 'fault_injected': False, 'fault_type': None, 'actual_fault_type': None}}], 'actual_faults': []}}]",1,0.2,1,retrieval_evidence
retrieval_010,self_healing,True,False,False,False,,,[],Product A has standard support for 12 months.,1,0,1,0,80,2,False,"[{'step': 'initial_execution', 'attempt': 0, 'fault_intensity': 0.2, 'response': {'tool': 'task_executor', 'status': 'success', 'output': 'Product A has standard support for 12 months.', 'latency_ms': 80, 'tool_trace': [{'step_index': 0, 'tool': 'document_search', 'args': {'query': 'Product A support policy'}, 'fault_eligible': True, 'seed': 2974441330, 'response': {'tool': 'document_search', 'status': 'success', 'output': 'Product A has standard support for 12 months.', 'latency_ms': 80, 'fault_injected': False, 'fault_type': None, 'actual_fault_type': None}}], 'actual_faults': []}}]",1,0.2,1,retrieval_evidence
retrieval_011,retry_only,True,False,False,False,,,[],Product B has a refund window of 30 days.,1,0,0,0,80,1,False,"[{'step': 'retry_execution', 'attempt': 0, 'response': {'tool': 'task_executor', 'status': 'success', 'output': 'Product B has a refund window of 30 days.', 'latency_ms': 80, 'tool_trace': [{'step_index': 0, 'tool': 'document_search', 'args': {'query': 'Product B refund window'}, 'fault_eligible': True, 'seed': 3433745387, 'response': {'tool': 'document_search', 'status': 'success', 'output': 'Product B has a refund window of 30 days.', 'latency_ms': 80, 'fault_injected': False, 'fault_type': None, 'actual_fault_type': None}}], 'actual_faults': []}}]",1,0.2,1,retrieval_evidence
retrieval_011,full_replanning,True,False,False,False,,,[],Product B has a refund window of 30 days.,1,1,0,0,80,2,False,"[{'step': 'full_replan', 'attempt': 0, 'content': 'Regenerate full plan from current task state.'}, {'step': 'execute_replanned_task', 'attempt': 0, 'response': {'tool': 'task_executor', 'status': 'success', 'output': 'Product B has a refund window of 30 days.', 'latency_ms': 80, 'tool_trace': [{'step_index': 0, 'tool': 'document_search', 'args': {'query': 'Product B refund window'}, 'fault_eligible': True, 'seed': 1049891503, 'response': {'tool': 'document_search', 'status': 'success', 'output': 'Product B has a refund window of 30 days.', 'latency_ms': 80, 'fault_injected': False, 'fault_type': None, 'actual_fault_type': None}}], 'actual_faults': []}}]",1,0.2,1,retrieval_evidence
retrieval_011,self_healing,True,False,False,False,,,[],Product B has a refund window of 30 days.,1,0,1,0,80,2,False,"[{'step': 'initial_execution', 'attempt': 0, 'fault_intensity': 0.2, 'response': {'tool': 'task_executor', 'status': 'success', 'output': 'Product B has a refund window of 30 days.', 'latency_ms': 80, 'tool_trace': [{'step_index': 0, 'tool': 'document_search', 'args': {'query': 'Product B refund window'}, 'fault_eligible': True, 'seed': 3915358648, 'response': {'tool': 'document_search', 'status': 'success', 'output': 'Product B has a refund window of 30 days.', 'latency_ms': 80, 'fault_injected': False, 'fault_type': None, 'actual_fault_type': None}}], 'actual_faults': []}}]",1,0.2,1,retrieval_evidence
retrieval_012,retry_only,True,True,False,False,,,['malformed_output'],Enterprise customers receive priority support within 4 hours.,2,0,0,1,160,2,False,"[{'step': 'retry_execution', 'attempt': 0, 'response': {'tool': 'task_executor', 'status': 'error', 'error_type': 'malformed_output', 'output': '{bad_json: missing_quotes, broken', 'latency_ms': 80, 'tool_trace': [{'step_index': 0, 'tool': 'document_search', 'args': {'query': 'enterprise SLA'}, 'fault_eligible': True, 'seed': 939420204, 'response': {'tool': 'document_search', 'status': 'success', 'output': '{bad_json: missing_quotes, broken', 'latency_ms': 80, 'fault_injected': True, 'fault_type': 'malformed_output', 'actual_fault_type': 'malformed_output'}}], 'actual_faults': ['malformed_output']}}, {'step': 'retry_execution', 'attempt': 1, 'response': {'tool': 'task_executor', 'status': 'success', 'output': 'Enterprise customers receive priority support within 4 hours.', 'latency_ms': 80, 'tool_trace': [{'step_index': 0, 'tool': 'document_search', 'args': {'query': 'enterprise SLA'}, 'fault_eligible': True, 'seed': 2239037902, 'response': {'tool': 'document_search', 'status': 'success', 'output': 'Enterprise customers receive priority support within 4 hours.', 'latency_ms': 80, 'fault_injected': False, 'fault_type': None, 'actual_fault_type': None}}], 'actual_faults': []}}]",1,0.2,1,retrieval_evidence
retrieval_012,full_replanning,True,False,False,False,,,[],Enterprise customers receive priority support within 4 hours.,1,1,0,0,80,2,False,"[{'step': 'full_replan', 'attempt': 0, 'content': 'Regenerate full plan from current task state.'}, {'step': 'execute_replanned_task', 'attempt': 0, 'response': {'tool': 'task_executor', 'status': 'success', 'output': 'Enterprise customers receive priority support within 4 hours.', 'latency_ms': 80, 'tool_trace': [{'step_index': 0, 'tool': 'document_search', 'args': {'query': 'enterprise SLA'}, 'fault_eligible': True, 'seed': 1711026316, 'response': {'tool': 'document_search', 'status': 'success', 'output': 'Enterprise customers receive priority support within 4 hours.', 'latency_ms': 80, 'fault_injected': False, 'fault_type': None, 'actual_fault_type': None}}], 'actual_faults': []}}]",1,0.2,1,retrieval_evidence
